Phase,Blue,Red,Score,Winner,Patch,BB1,RB1,BB2,RB2,BB3,RB3,BP1,RP1-2,BP2-3,RP3,RB4,BB4,RB5,BB5,RP4,BP4-5,RP5,BR1,BR2,BR3,BR4,BR5,RR1,RR2,RR3,RR4,RR5
Week 10,Liiv SANDBOX,DRX,2 - 1,1,11.5,Seraphine,Gragas,Renekton,Hecarim,Tristana,Thresh,Udyr,"Lillia, Kai'Sa","Alistar, Samira",Gnar,Camille,Rakan,Zoe,Rell,Leona,"Azir, Jayce",Syndra,Jungle,Support,Bot,Mid,Top,Jungle,Bot,Top,Support,Mid
Week 10,DRX,Liiv SANDBOX,1 - 1,1,11.5,Thresh,Seraphine,Azir,Udyr,Gragas,Renekton,Hecarim,"Gnar, Olaf","Jayce, Zoe",Kai'Sa,Tristana,Rell,Senna,Syndra,Twisted Fate,"Xayah, Leona",Alistar,Jungle,Top,Mid,Bot,Support,Top,Jungle,Bot,Mid,Support
Week 10,Liiv SANDBOX,DRX,1 - 0,1,11.5,Thresh,Camille,Renekton,Hecarim,Seraphine,Gragas,Udyr,"Lillia, Tristana","Ezreal, Gnar",Jayce,Zoe,Lucian,Azir,Orianna,Viktor,"Syndra, Alistar",Leona,Jungle,Bot,Top,Mid,Support,Jungle,Bot,Top,Mid,Support
Week 10,T1,Hanwha Life Esports,2 - 0,1,11.5,Lucian,Seraphine,Renekton,Hecarim,Jinx,Udyr,Lillia,"Nidalee, Sion","Gnar, Viktor",Tristana,Kalista,Rakan,Thresh,Senna,Rell,"Kai'Sa, Gragas",Ryze,Jungle,Top,Mid,Bot,Support,Jungle,Top,Bot,Support,Mid
Week 10,Hanwha Life Esports,T1,0 - 1,2,11.5,Gnar,Lucian,Udyr,Sion,Nidalee,Renekton,Hecarim,"Seraphine, Senna","Orianna, Gragas",Tahm Kench,Thresh,Olaf,Varus,Graves,Volibear,"Ezreal, Yuumi",Aatrox,Jungle,Mid,Top,Bot,Support,Mid,Bot,Support,Jungle,Top
Week 10,Fredit BRION,Nongshim RedForce,0 - 2,2,11.5,Thresh,Seraphine,Aatrox,Hecarim,Nidalee,Udyr,Lillia,"Alistar, Graves","Gnar, Viktor",Sion,Rell,Samira,Rakan,Azir,Syndra,"Kai'Sa, Gragas",Tristana,Jungle,Top,Mid,Bot,Support,Support,Jungle,Top,Mid,Bot
Week 10,Nongshim RedForce,Fredit BRION,1 - 0,1,11.5,Gnar,Seraphine,Lillia,Thresh,Renekton,Hecarim,Udyr,"Olaf, Viktor","Alistar, Aatrox",Tristana,Ezreal,Rell,Samira,Rakan,Gragas,"Jinx, Azir",Leona,Jungle,Support,Top,Bot,Mid,Jungle,Mid,Bot,Top,Support
Week 10,DWG KIA,KT Rolster,2 - 1,1,11.5,Thresh,Seraphine,Ezreal,Hecarim,Rell,Udyr,Nidalee,"Lillia, Tristana","Senna, Tahm Kench",Alistar,Sion,Gnar,Zoe,Yone,Renekton,"Gangplank, Azir",Ryze,Jungle,Bot,Support,Top,Mid,Jungle,Bot,Support,Top,Mid
Week 10,KT Rolster,DWG KIA,1 - 1,2,11.5,Seraphine,Thresh,Rell,Senna,Udyr,Ezreal,Hecarim,"Tristana, Renekton","Samira, Alistar",Nidalee,Orianna,Galio,Gnar,Gragas,Rakan,"Azir, Aatrox",Sylas,Jungle,Bot,Support,Mid,Top,Bot,Top,Jungle,Support,Mid
Week 10,DWG KIA,KT Rolster,0 - 1,2,11.5,Thresh,Seraphine,Ezreal,Hecarim,Lillia,Udyr,Nidalee,"Rell, Lee Sin","Renekton, Xayah",Samira,Alistar,Gnar,Rakan,Syndra,Gragas,"Zoe, Leona",Viktor,Jungle,Top,Bot,Mid,Support,Support,Jungle,Bot,Top,Mid
Week 10,Liiv SANDBOX,Afreeca Freecs,0 - 2,2,11.5,Seraphine,Camille,Lillia,Thresh,Renekton,Hecarim,Gnar,"Udyr, Jayce","Olaf, Ezreal",Jinx,Zoe,Orianna,Leona,Rell,Viktor,"Gragas, Syndra",Lulu,Top,Jungle,Bot,Support,Mid,Jungle,Top,Bot,Mid,Support
Week 10,Afreeca Freecs,Liiv SANDBOX,1 - 0,1,11.5,Thresh,Seraphine,Camille,Hecarim,Gragas,Renekton,Lillia,"Gnar, Orianna","Rell, Jayce",Olaf,Syndra,Alistar,Sion,Ezreal,Kai'Sa,"Tristana, Viktor",Leona,Jungle,Support,Top,Bot,Mid,Top,Mid,Jungle,Bot,Support
