leagueId,queueType,tier,rank,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
d1ff3466-6c02-33b0-8085-9fa6a8b82dd5,RANKED_SOLO_5x5,CHALLENGER,I,9c4m-A9pR8OcDZObVPWER3bPxfT-nZNUIDTpSzBGeiQ6OQ,쪼렙이다말로하자,1681,891,790,True,False,False,False
d1ff3466-6c02-33b0-8085-9fa6a8b82dd5,RANKED_SOLO_5x5,CHALLENGER,I,bt7b42IEv3eYX9C-mRfyaHsyA7l6h7CoVpe6Isz6xWyRoLqWBgNUL-x60w,nodfan,1567,156,72,True,False,False,True
d1ff3466-6c02-33b0-8085-9fa6a8b82dd5,RANKED_SOLO_5x5,CHALLENGER,I,Q4nCFA1p8w1_i8yuOGUSRh2AkYoeobzKfRMMjoUQ9ebuFgM,GGGori,1440,424,334,True,False,False,True
d1ff3466-6c02-33b0-8085-9fa6a8b82dd5,RANKED_SOLO_5x5,CHALLENGER,I,xEpbN46eXMHxsMUP0ltmtLKUIxmyZyOWIKHhpBYXFltNark,DK ShowMaker,1418,344,264,True,False,False,True
d1ff3466-6c02-33b0-8085-9fa6a8b82dd5,RANKED_SOLO_5x5,CHALLENGER,I,l3rb1MFE1niulYiKv3_iVRs-DLtWxYx78AL3kPQUH5In1ME,BRO Hoya,1412,400,322,True,False,False,False
d1ff3466-6c02-33b0-8085-9fa6a8b82dd5,RANKED_SOLO_5x5,CHALLENGER,I,fgUaZbB2chhPaoHBlrdQssfnj_SR6_IhqHBO85NxUoa2B6k,xkamsdjzx,1383,527,453,True,False,False,False
d1ff3466-6c02-33b0-8085-9fa6a8b82dd5,RANKED_SOLO_5x5,CHALLENGER,I,mqPJYwVKdF3GL717i2RHiUumpwD0iikFlLtZQeFaIlZKtaI,AF Keine,1367,802,731,True,False,False,True
d1ff3466-6c02-33b0-8085-9fa6a8b82dd5,RANKED_SOLO_5x5,CHALLENGER,I,ITlvXfU_4Ibm0sp0eN1B5nGXh10ZS6kKGi3yz07NYe-kLhc,해오름달 사흘,1351,794,715,True,False,False,False
d1ff3466-6c02-33b0-8085-9fa6a8b82dd5,RANKED_SOLO_5x5,CHALLENGER,I,aebRGaFVPPe6_zFvGPlAMQBS9y3f5jUXbRSO0YGkPeL7uMg,참새크면비둘기,1345,331,263,True,False,False,False
d1ff3466-6c02-33b0-8085-9fa6a8b82dd5,RANKED_SOLO_5x5,CHALLENGER,I,o5TzCDpj1bP09NabPPMbVFXvv4TR3xErRMrEaHueC-KeJD8c2nxOhmgxGA,우제우스,1338,615,528,True,False,False,False
d1ff3466-6c02-33b0-8085-9fa6a8b82dd5,RANKED_SOLO_5x5,CHALLENGER,I,0l2MhoDXO4cXrN1Ae3uAM7QaOaqVvQMGUiJCO_eHDhH6xhnU,세상이무섭단말야,1315,396,321,True,False,False,False
d1ff3466-6c02-33b0-8085-9fa6a8b82dd5,RANKED_SOLO_5x5,CHALLENGER,I,ePhrav2ifVlnJbMC-aVCNjWXrFgqPpQkJE2LnRyyvpQTqrA,나는 준일하다,1315,327,256,True,False,False,False
d1ff3466-6c02-33b0-8085-9fa6a8b82dd5,RANKED_SOLO_5x5,CHALLENGER,I,VVQdAYQjTRCskI3FcjYw6Glwdyy-xfp3p7D5yS6oNv1zEyA,곽곽보성,1312,616,533,True,False,False,False
d1ff3466-6c02-33b0-8085-9fa6a8b82dd5,RANKED_SOLO_5x5,CHALLENGER,I,7OQywIklQvPKs6ACoLkT0gjyXkqsKFU1lVcFwBLfg1T1iII,자장면잠봉당수육,1303,265,186,True,False,False,False
d1ff3466-6c02-33b0-8085-9fa6a8b82dd5,RANKED_SOLO_5x5,CHALLENGER,I,2PD328Uko8wIhNKQPoUgRLaIgPI8z7QpjxZUSXO58GSCZ_JB1yt_PHNvlQ,shenzhenshaoye,1271,493,402,True,False,False,False
d1ff3466-6c02-33b0-8085-9fa6a8b82dd5,RANKED_SOLO_5x5,CHALLENGER,I,QhJtAqSjCmteQKtbxl0Nf8DaZNWx7zu4G9_PhuqC7m5Xb8Q,T1 Zeus,1264,500,428,True,False,False,True
d1ff3466-6c02-33b0-8085-9fa6a8b82dd5,RANKED_SOLO_5x5,CHALLENGER,I,APY4jcjbzJDEKXSXpTdzijO8PB1iM9IKifid_GCmsXS49z4jsjgqKDG_6g,난 무조건 잘 돼,1263,682,599,True,False,False,False
d1ff3466-6c02-33b0-8085-9fa6a8b82dd5,RANKED_SOLO_5x5,CHALLENGER,I,yWWuDX7qbU9LObbAGBcT54ro-rVzjJv6H7j3n7zp5KZmcFk,난 워낙 노빠꾸라,1259,478,397,True,False,False,False
d1ff3466-6c02-33b0-8085-9fa6a8b82dd5,RANKED_SOLO_5x5,CHALLENGER,I,7JIQgDKkjW4DHP2C-l0rV_Mp8XcuKVnV7U786wSy2Ex9Fbw,짐승 잡종 인간,1241,765,698,True,False,False,False
d1ff3466-6c02-33b0-8085-9fa6a8b82dd5,RANKED_SOLO_5x5,CHALLENGER,I,wyXvBqiPVEm4DxnrvqqZwLdOBBDX-owOQ-lJwK1P7pp6Qk4,zzzusss,1226,390,315,True,False,False,False
